id,alpha_1,alpha_2,alpha_3,alpha_4
if1_hh,1.0476540283988076,0.25717718213721585,0.14084667274074666,0.14987233619652135
if1_lh,0.1464832120517959,0.12320810706620028,0.15130858634163638,0.3210356152341048
if1_u-Lh,0.6840512738800864,0.20378348991968445,0.14585848567578638,0.3272679537668833
if1_uh,0.7387953224823479,0.1880830087956082,0.1362260958934513,0.28493598027604883
if2_hl,0.4286483700475775,0.2946752223430177,0.11869933773275237,0.16497916352789382
if2_ll,0.326309054830886,0.20305260533257138,0.1349082337499059,0.408134924646072
if2_u-Ll,0.2990814111864277,0.2728280380454477,0.12416356231460486,0.25187115648191183
if2_ul,0.45621179421834546,0.3039414784701431,0.12873000891994846,0.19755249644115988
independent_hh,0.6873044092598237,0.14267632351721865,0.21070327331478683,0.12255153811599696
independent_hl,0.3982289665606168,0.5098092132426614,0.13823708692484415,0.13536547617446099
independent_ll,0.13515115665643668,0.13659111711725203,0.29551817178241346,0.5385122737844747
independent_uh,0.5977918040345577,0.2076166739842229,0.4044917132919794,0.16935844677220466
independent_ul,0.39594547136385044,0.5507139526575335,0.2754969534205915,0.3428149808611909
